,lat,lng,sup_t,precio
0,-33.0031684,-68.8587304,1060,42000
10,-32.99102935132349,-68.81746449147947,533,30000
21,-32.95354686457064,-68.85548930367432,2350,345000
31,-32.99973187220967,-68.83000733337403,500,20000
35,-32.97324894929979,-68.82452199944822,553,61000
43,-32.99494374068044,-68.85892806037283,500,35000
60,-32.98081396799705,-68.8677894505131,1000,88990
63,-32.988913,-68.887743,750,79000
68,-32.96998225055516,-68.83421476896322,675,47000
76,-32.99551880435877,-68.87315016764528,1203,185000
77,-32.98826536176699,-68.83083641238403,500,42000
78,-32.9937371,-68.8837288,1500,300000
80,-32.99769597297404,-68.87209951586914,500,33000
81,-32.983062371714105,-68.82264240651429,301,27000
84,-32.9896947371469,-68.82577918403933,500,30500
86,-32.99494092776269,-68.84621291899573,356,22000
88,-32.99389397509333,-68.82871624072266,500,32000
91,-32.99495433999702,-68.84566627301633,551,30000
93,-33.00238822736455,-68.83118387301636,750,20000
94,-32.993856512767415,-68.85368967413731,513,45000
99,-32.974880867487784,-68.81231478829648,2243,85000
107,-32.99588267279199,-68.87205126610108,8000,320000
118,-32.98172607829034,-68.81000754231351,500,30000
126,-32.98898677815471,-68.90380859387054,567,64000
128,-32.99721121784671,-68.85507265662233,500,35000
131,-32.987661806292245,-68.82793654865722,500,45000
132,-32.965845023562096,-68.84250998497009,393,21000
134,-32.994588155102726,-68.89871163001632,786,98000
136,-32.986293914688154,-68.83403052753906,500,45000
137,-32.99236433763823,-68.81718347558348,500,25000
140,-32.97623482110227,-68.79950107354125,500,70000
144,-33.0004554577974,-68.82973726715088,686,21000
148,-32.97343113748888,-68.878324843161,2600,182000
149,-32.9888683031333,-68.89865338511659,610,90000
150,-32.98862841920653,-68.89735960642088,504,50000
152,-32.966343,-68.8504359,397,37000
153,-33.0021003,-68.8311195,500,25000
156,-32.994716526077575,-68.81988333266706,500,29000
162,-32.9927875344951,-68.82700091901992,500,32000
167,-32.97333748125914,-68.82566010508197,450,40000
168,-32.97865986674752,-68.82679700416372,407,24900
180,-32.98873365517974,-68.82947010317991,300,28900
183,-32.99387013975241,-68.85402477672119,500,36000
187,-32.99402896704429,-68.85329581067491,569,45600
203,-32.9889751814102,-68.90768312938845,521,65000
204,-32.989321094521834,-68.8986699913491,670,58000
216,-32.99732693214471,-68.82124810069006,500,24500
219,-32.970530700216266,-68.83563707360594,333,32000
221,-32.99114801072668,-68.82034449206543,550,24000
222,-32.994917950408244,-68.85942297141112,500,39000
225,-32.9560142,-68.8579522,600,235000
227,-32.96422980120029,-68.84308288583128,240,16000
232,-32.997512,-68.85433189999999,500,38000
233,-32.99318404759304,-68.85467916091308,500,38000
234,-32.98863785993568,-68.82962073640137,500,37500
235,-32.988008841132874,-68.83078763970701,500,40000
248,-32.97153880235138,-68.82469366082518,451,35000
249,-32.968068351448,-68.831470012665,380,15000
253,-32.99217890498098,-68.88109418465577,750,52500
257,-32.989926108139095,-68.85964493281861,500,36000
258,-32.98818764847939,-68.8303994233978,500,40000
262,-32.99600552500308,-68.86079199045523,500,32000
264,-32.98705851934752,-68.83485731301191,500,40000
266,-32.989926108139095,-68.85964493281861,500,35000
269,-32.978685006285986,-68.82690028440855,407,30000
273,-32.99714761656667,-68.82924830423094,500,28000
286,-32.98872810000001,-68.8629873,500,36000
295,-32.98823757015876,-68.83087395790872,500,35000
299,-32.9956147989411,-68.86152845814274,500,38000
300,-32.96844314580674,-68.86817892705776,750,35000
306,-32.98448199215157,-68.86006472473144,500,36000
308,-32.99390613408165,-68.85411060740967,500,38000
309,-32.994570228775416,-68.87560568502099,750,78000
310,-32.994672527991945,-68.83374962665033,565,35000
315,-32.99346964579233,-68.83685828209228,520,36500
321,-32.9937371,-68.8837288,1500,300000
323,-32.980555012146844,-68.80357038872985,330,35000
329,-33.000408842437075,-68.83037994393675,500,19000
